iteration,chunk_size,chunk_overlap,top_k,similarity_threshold,retriever_type,faithfulness,context_recall,context_precision,response_relevancy
1,1200,180,4,0.0,similarity,0.8787878787878788,0.8888888888888888,0.8148148147776235,0.9489887970849666
2,1000,200,5,0.1,mmr,0.8490740740740741,1.0,0.7715277777183795,0.9468295955949144
3,800,160,6,0.3,similarity_score_threshold,0.9222222222222223,1.0,0.8726851851379052,0.9361859104877893
4,1000,200,4,0.4,similarity_score_threshold,1.0,1.0,0.8999999999513889,0.879889179554653
